,state,county,population,county_name,state_name
1920,37,017,34454.0,Bladen County, North Carolina
1921,37,019,119167.0,Brunswick County, North Carolina
1922,37,021,250112.0,Buncombe County, North Carolina
1923,37,023,89082.0,Burke County, North Carolina
1924,37,025,192296.0,Cabarrus County, North Carolina
1925,37,027,81623.0,Caldwell County, North Carolina
1926,37,029,10228.0,Camden County, North Carolina
1927,37,031,68537.0,Carteret County, North Carolina
1928,37,033,23094.0,Caswell County, North Carolina
1929,37,035,155461.0,Catawba County, North Carolina
1930,37,037,68778.0,Chatham County, North Carolina
1931,37,039,27226.0,Cherokee County, North Carolina
1932,37,041,14556.0,Chowan County, North Carolina
1933,37,043,10730.0,Clay County, North Carolina
1934,37,045,97113.0,Cleveland County, North Carolina
1935,37,047,57015.0,Columbus County, North Carolina
1936,37,049,104190.0,Craven County, North Carolina
1937,37,051,325841.0,Cumberland County, North Carolina
1938,37,053,24864.0,Currituck County, North Carolina
1939,37,055,35187.0,Dare County, North Carolina
1940,37,057,164058.0,Davidson County, North Carolina
1941,37,059,41568.0,Davie County, North Carolina
1942,37,061,59121.0,Duplin County, North Carolina
1943,37,063,294618.0,Durham County, North Carolina
1944,37,065,54669.0,Edgecombe County, North Carolina
1945,37,067,364691.0,Forsyth County, North Carolina
1946,37,069,62989.0,Franklin County, North Carolina
1947,37,071,211753.0,Gaston County, North Carolina
1948,37,073,11615.0,Gates County, North Carolina
1949,37,075,8651.0,Graham County, North Carolina
1950,37,077,58341.0,Granville County, North Carolina
1951,37,079,21241.0,Greene County, North Carolina
1952,37,081,511815.0,Guilford County, North Carolina
1953,37,083,52849.0,Halifax County, North Carolina
1954,37,085,126620.0,Harnett County, North Carolina
1955,37,087,59577.0,Haywood County, North Carolina
1956,37,089,110905.0,Henderson County, North Carolina
1957,37,091,24285.0,Hertford County, North Carolina
1958,37,093,51853.0,Hoke County, North Carolina
1959,37,095,5629.0,Hyde County, North Carolina
1960,37,097,167493.0,Iredell County, North Carolina
1961,37,099,41227.0,Jackson County, North Carolina
1962,37,101,182155.0,Johnston County, North Carolina
1963,37,103,10074.0,Jones County, North Carolina
1964,37,105,59540.0,Lee County, North Carolina
1965,37,107,58343.0,Lenoir County, North Carolina
1966,37,109,79783.0,Lincoln County, North Carolina
1967,37,111,45013.0,McDowell County, North Carolina
